,img_path,label,gtin,desc_karf,desc_long,desc_short,name,true_label_gtin,predicted_label_gtin,predicted_gtin_enroll_folder,is_correct,name_predictions,gtin_predictions
0,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00009800800254/193349_2.png,0,00009800800254,Nutella 33.5 oz,One  oz jar of delicious Nutella hazelnut spread the perfect topping for baking pancakes waffles toast and more!The Original Hazelnut Spread…unique in all the world.Made from quality ingredients like roasted hazelnuts and cocoa.Packaged in the iconic Nutella jar.What to eat with pancakes? Whether it's a pancake mix or homemade flapjacks try the spread that's perfect with pancakes on Pancake Day or any day of the year,The great taste of Nutella makes weekend breakfasts even more special. Spread it on warm toast bananas pancakes waffles it’s up to you. Nutella is a quick easy way to bring a smile to the breakfast table. And you can feel good knowing it’s made with quality ingredients like roasted hazelnuts and cocoa. No wonder The Original Hazelnut Spread is a favorite all over the world. Your weekend deserves Nutella.,Nutella Chocolate Hazelnut Spread Perfect on Pancakes  oz Jar,00009800800254,00078742127071,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00078742127071,False,Great Value Large White Eggs  Count,00078742127071
1,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00010900003308/180957_3.png,1,00010900003308,Reynolds CutRite Wax Paper 75sf,Microwave SafeNon-StickEasy CleanupResponsibly Sourced PaperKosher,Reynolds Cut-Rite Wax Paper is useful for everything from prepping and reheating food to preventing messes and making art projects. This disposable wax paper has a nonstick surface that food does not stick to so cleaning up after spooning out drop candies or chocolate-covered fruits and pretzels is a fast fuss-free and efficient endeavor. Foods lift off easily without leaving behind a mess so your kitchen stays clean and your food looks great. Spread out a Reynolds wax paper roll to catch the mess when you're peeling potatoes shredding cheese or dicing onions. Your countertop stays cleaner and you can just roll up your prepped food or discarded potato peels for easier handling afterwards. Don't forget to use this microwave safe wax paper to minimize splattering when reheating spaghetti sauce or other foods. This disposable kitchen paper also works as a protective barrier for tables desks and counters whether you're cooking or creating art.,Reynolds Cut-Rite Wax Paper,00010900003308,00012000504051,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00012000504051,False,Pepsi Cola Soda Pop  oz  Pack Bottles,00012000504051
2,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00010900003308/183959_1.png,1,00010900003308,Reynolds CutRite Wax Paper 75sf,Microwave SafeNon-StickEasy CleanupResponsibly Sourced PaperKosher,Reynolds Cut-Rite Wax Paper is useful for everything from prepping and reheating food to preventing messes and making art projects. This disposable wax paper has a nonstick surface that food does not stick to so cleaning up after spooning out drop candies or chocolate-covered fruits and pretzels is a fast fuss-free and efficient endeavor. Foods lift off easily without leaving behind a mess so your kitchen stays clean and your food looks great. Spread out a Reynolds wax paper roll to catch the mess when you're peeling potatoes shredding cheese or dicing onions. Your countertop stays cleaner and you can just roll up your prepped food or discarded potato peels for easier handling afterwards. Don't forget to use this microwave safe wax paper to minimize splattering when reheating spaghetti sauce or other foods. This disposable kitchen paper also works as a protective barrier for tables desks and counters whether you're cooking or creating art.,Reynolds Cut-Rite Wax Paper,00010900003308,00012587000229,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00012587000229,False,Glad Cling N Seal Plastic Food Wrap  Square Foot Roll,00012587000229
3,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00010900003308/185059_2.png,1,00010900003308,Reynolds CutRite Wax Paper 75sf,Microwave SafeNon-StickEasy CleanupResponsibly Sourced PaperKosher,Reynolds Cut-Rite Wax Paper is useful for everything from prepping and reheating food to preventing messes and making art projects. This disposable wax paper has a nonstick surface that food does not stick to so cleaning up after spooning out drop candies or chocolate-covered fruits and pretzels is a fast fuss-free and efficient endeavor. Foods lift off easily without leaving behind a mess so your kitchen stays clean and your food looks great. Spread out a Reynolds wax paper roll to catch the mess when you're peeling potatoes shredding cheese or dicing onions. Your countertop stays cleaner and you can just roll up your prepped food or discarded potato peels for easier handling afterwards. Don't forget to use this microwave safe wax paper to minimize splattering when reheating spaghetti sauce or other foods. This disposable kitchen paper also works as a protective barrier for tables desks and counters whether you're cooking or creating art.,Reynolds Cut-Rite Wax Paper,00010900003308,00016000409811,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00016000409811,False,Betty Crocker Super Moist White Cake Mix  oz,00016000409811
4,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00010900003308/189444_1.png,1,00010900003308,Reynolds CutRite Wax Paper 75sf,Microwave SafeNon-StickEasy CleanupResponsibly Sourced PaperKosher,Reynolds Cut-Rite Wax Paper is useful for everything from prepping and reheating food to preventing messes and making art projects. This disposable wax paper has a nonstick surface that food does not stick to so cleaning up after spooning out drop candies or chocolate-covered fruits and pretzels is a fast fuss-free and efficient endeavor. Foods lift off easily without leaving behind a mess so your kitchen stays clean and your food looks great. Spread out a Reynolds wax paper roll to catch the mess when you're peeling potatoes shredding cheese or dicing onions. Your countertop stays cleaner and you can just roll up your prepped food or discarded potato peels for easier handling afterwards. Don't forget to use this microwave safe wax paper to minimize splattering when reheating spaghetti sauce or other foods. This disposable kitchen paper also works as a protective barrier for tables desks and counters whether you're cooking or creating art.,Reynolds Cut-Rite Wax Paper,00010900003308,00012587000229,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00012587000229,False,Glad Cling N Seal Plastic Food Wrap  Square Foot Roll,00012587000229
5,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00010900003308/190341_1.png,1,00010900003308,Reynolds CutRite Wax Paper 75sf,Microwave SafeNon-StickEasy CleanupResponsibly Sourced PaperKosher,Reynolds Cut-Rite Wax Paper is useful for everything from prepping and reheating food to preventing messes and making art projects. This disposable wax paper has a nonstick surface that food does not stick to so cleaning up after spooning out drop candies or chocolate-covered fruits and pretzels is a fast fuss-free and efficient endeavor. Foods lift off easily without leaving behind a mess so your kitchen stays clean and your food looks great. Spread out a Reynolds wax paper roll to catch the mess when you're peeling potatoes shredding cheese or dicing onions. Your countertop stays cleaner and you can just roll up your prepped food or discarded potato peels for easier handling afterwards. Don't forget to use this microwave safe wax paper to minimize splattering when reheating spaghetti sauce or other foods. This disposable kitchen paper also works as a protective barrier for tables desks and counters whether you're cooking or creating art.,Reynolds Cut-Rite Wax Paper,00010900003308,00012587000229,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00012587000229,False,Glad Cling N Seal Plastic Food Wrap  Square Foot Roll,00012587000229
6,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00011115871324/195605_1.png,2,00011115871324,Imperial Stick EC Veg Oil Sprd1Lb,Imperial Quarter Display Spreads:It will help complete all your baking needs this seasonWith low sodium% less cholesterolg Trans Fat Per Serving,Imperial % Vegetable Oil Spread  oz,Imperial Vegetable Oil Spread  oz  Sticks,00011115871324,00051500062005,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00051500062005,False,Smucker's Natural Chunky Peanut Butter  Ounces,00051500062005
7,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00011115871324/197886_1.png,2,00011115871324,Imperial Stick EC Veg Oil Sprd1Lb,Imperial Quarter Display Spreads:It will help complete all your baking needs this seasonWith low sodium% less cholesterolg Trans Fat Per Serving,Imperial % Vegetable Oil Spread  oz,Imperial Vegetable Oil Spread  oz  Sticks,00011115871324,00034500151368,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00034500151368,False,Land O Lakes® Salted Butter  lb in  Sticks,00034500151368
8,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00011115871324/212850_3.png,2,00011115871324,Imperial Stick EC Veg Oil Sprd1Lb,Imperial Quarter Display Spreads:It will help complete all your baking needs this seasonWith low sodium% less cholesterolg Trans Fat Per Serving,Imperial % Vegetable Oil Spread  oz,Imperial Vegetable Oil Spread  oz  Sticks,00011115871324,00043000071519,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00043000071519,False,McCafe Premium Roast Ground Coffee Medium Roast  oz Canister,00043000071519
9,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/splitfolders/test/00011115871324/214205_3.png,2,00011115871324,Imperial Stick EC Veg Oil Sprd1Lb,Imperial Quarter Display Spreads:It will help complete all your baking needs this seasonWith low sodium% less cholesterolg Trans Fat Per Serving,Imperial % Vegetable Oil Spread  oz,Imperial Vegetable Oil Spread  oz  Sticks,00011115871324,00013130006125,/home/jupyter/dvc-manual/gtin_60/data/prep/80gtin_allsubfolders/80gtin_ET/ET_size_90/00013130006125,False,Cream of Wheat Original Hot Cereal Kosher  OZ Box  Min,00013130006125
